Date,nps,text
01/03/2023 04:57,8,No me dio la opción de pago a meses sin intereses
01/03/2023 04:55,6,"muy tardado, no me llega la confirmación vía correo"
01/03/2023 04:54,8,"Que los precios no sean tan caros, eso atraeria mas clientes mas que presentacion del avion, de la pagina web, la comodidad del Aeropuerto etc. etc."
01/03/2023 04:51,2,"Me estas mandando el NPS cuando todavía ni siquiera termino la compra, pesima experiencia de encuestas."
01/03/2023 04:48,0,no pude pagar
01/03/2023 04:47,5,cambian los precios casi por pagar
01/03/2023 04:43,8,Sean claros en costos y bajar los costos de la asignación de asientos
01/03/2023 04:42,0,Esta horrible su pagina y esta muy revuelta
01/03/2023 04:41,6,BAJEN PRECIOS
01/03/2023 04:39,8,es confusa
01/03/2023 04:34,6,kkkkkk
01/03/2023 04:33,0,deberian hacerla mas amigable
01/03/2023 04:28,8,permitir selección de asientos sin cargo
01/03/2023 04:23,8,x
01/03/2023 04:23,6,costos elevados
01/03/2023 04:21,6,bajar los precios.  hay veses que es emergencia y los precios son elevados. y tenemos que pagar hasta por los asientos.
01/03/2023 04:20,8,GOOD SERVICE
01/03/2023 04:18,8,no elevar tanto los precios
01/03/2023 04:16,8,si esta bien
01/03/2023 04:11,7,Que coloquen el total del costo del boleto ya que al momento de cotizar te sale una cantidad y al momento de pagar aumenta.
01/03/2023 04:10,7,"Reducir la visibilidad de extras y NO obligar a aceptar un cargo no solicitado (reembolso total), en el paso final."
01/03/2023 03:52,1,"No puedo canjear mis puntos doters, en la página de Doters me aparece que tengo 69,000 pero cuando entro a mi cuenta doters-vivaaerobus me aparecen cero puntos."
01/03/2023 03:44,7,"Que desde un principio te muestre todos los costos, asientos, seguros, etc"
01/03/2023 03:39,5,No pongan tantas trampas para hacer cargos extras que no son realmente necesarios.
01/03/2023 03:38,8,la publicidad me confunde un poco
01/03/2023 03:36,5,"MUCHIOS GASTOS OCULTOS, ENGAÑOSOS"
01/03/2023 03:36,0,dar a concer el pago desl impuesto desde la compra
01/03/2023 03:34,8,NO PRECARGANDO CARGOS ADICIONALES DE SEGUROS Y EXTRAS
01/03/2023 03:30,7,"Que aparezca el calendario con los precios, desde un inicio. Poder declinar los Adicionales."
01/03/2023 03:30,7,"La página se vuelve un poco confusa, en caso de que alguna persona mayor quisiera utilizarla sería complicado para ella"
01/03/2023 03:28,8,buena
01/03/2023 03:26,7,"Me molesta en gran manera que traten de venderme absolutamente todo!!...desde el cobro de equipaje, selección de asientos, seguro de reserva...TODO!!! Es realmente molesto!!"
01/03/2023 03:14,5,muy tardado
01/03/2023 03:10,7,No cobrar todo por aparte
01/03/2023 03:05,5,hice reservaciones para 2 personas y solo necesitaba en un pasajero una maleta de 15 kilos. Pero el sistema no me dejaba agregar 1 maleta para un solo pasajero. Me la agrego para los dos pasajeros.
01/03/2023 03:04,5,"Al ser rechazada mi forma de pago, me vi forzada a buscar el mismo vuelo desde una página incógnito, en la cual le subieron $75 mxn al costo del vuelo. Pésimo eso."
01/03/2023 02:53,7,"Intente pagar 4 reservaciones, al momento de pagar no me permitia realizar el pago, marcaba un error en los montos, ""los montos no coinciden""."
01/03/2023 02:51,8,"Los precios aparentemente son muy económicos, pero al finalziar la reserva suben mucho."
