Date,nps,Comment
17/04/2023 20:23,9,PRECIO
17/04/2023 20:21,9,ES LA PRIMERA VEZ Y SI ME SIENTO CON ALGO DE INSERTIDUMBRE SI LO ESTOY HACIUENDO BIEN
17/04/2023 20:17,9,Es muy rapido
17/04/2023 20:17,10,Bueno
17/04/2023 20:10,9,Prcticidad
17/04/2023 20:07,10,Es muy fácil de manejar la página web y la app
17/04/2023 19:50,10,Por la facilidad de la navegación
17/04/2023 19:49,10,MUY RAPIDO PARA HACER CHECK IN
17/04/2023 19:47,10,.
17/04/2023 19:45,10,TODO ES EXCELENTE
17/04/2023 19:42,10,FUE SENCILLO
17/04/2023 19:40,9,"facilidad de compra en linea, vuelos en tiempo"
17/04/2023 19:39,10,MUY FACIL DE USAR
17/04/2023 19:37,10,muy rapido
17/04/2023 19:35,10,Excelente
17/04/2023 19:35,9,PARA VOLAR SIN CONTRATIEMPOS
17/04/2023 19:29,10,RAPIDEZ
17/04/2023 19:29,10,.
17/04/2023 19:28,10,por el buen servicio
17/04/2023 19:26,10,facil y practico
17/04/2023 19:23,10,.
17/04/2023 19:22,10,ES MUY SENCILLO
17/04/2023 19:17,9,Útil
17/04/2023 19:16,9,MUY FACIL DE USAR
17/04/2023 19:13,10,todo muy practico
17/04/2023 19:12,10,si
17/04/2023 19:10,10,POR QUE CONOZCAN LA AEROLINEA
17/04/2023 19:02,10,PORQUE ME GUSTA SU SERVICIO
17/04/2023 18:56,10,Por sencillez y rapidez
17/04/2023 18:49,10,:D
17/04/2023 18:40,10,es muy facil
17/04/2023 18:34,10,ágil
17/04/2023 18:32,10,rapidos
17/04/2023 18:31,10,POR LA RAPIDEZ
17/04/2023 18:29,10,super facil
17/04/2023 18:21,9,ES MUY FACIL
17/04/2023 18:19,10,si
17/04/2023 18:15,10,rapida y eficiente la página
17/04/2023 18:04,10,Muy eficiente
17/04/2023 18:03,10,Es muy fácil y rápido.
17/04/2023 18:02,10,excelente
17/04/2023 17:54,10,"Es muy sencillo y rápido todo, gracias"
17/04/2023 17:52,10,Facil de usar
17/04/2023 17:45,10,conveniente y rapido
17/04/2023 17:43,10,por la facilidad
17/04/2023 17:39,10,servicio en webb
17/04/2023 17:38,10,POR LA FACILIDAD DEL TRAMITE
17/04/2023 17:29,10,Amigable
17/04/2023 17:26,9,"FACILIDAD AL HACERLO, ME EVITO TRAMITES EN EL AEROPUERTO"
17/04/2023 17:26,10,La flexibilidad.
17/04/2023 17:25,10,buen servicio
17/04/2023 17:17,10,ES CON LOS QUE YO VUELO
17/04/2023 17:16,10,todo excelente
17/04/2023 17:13,10,Facil acceso
17/04/2023 17:11,10,Sencillez
17/04/2023 17:08,9,EL SERVICIO ES RÁPIDO
17/04/2023 16:57,10,MUY FACIL
17/04/2023 16:56,9,RAPIDEZ Y PRACTICIDAD
17/04/2023 16:53,10,por la rapidez
17/04/2023 16:48,9,muy buen servicio
17/04/2023 16:45,10,Buena y fácil de usar
17/04/2023 16:40,10,Muy facil
17/04/2023 16:39,10,Todo el proceso fue rápido y sencillo.
17/04/2023 16:38,9,POR SU RAPIDEZ
17/04/2023 16:35,10,TODO MUY BIEN
17/04/2023 16:27,10,excellent servicio
17/04/2023 16:26,10,La página web es muy práctica
17/04/2023 16:22,9,muy birn
17/04/2023 16:16,10,claro
