Button name,Rating,Text
Doters,1,Porque me inscribí y aparece un no ver qué no puse??
Desktop New Site,2,Como hacer una reservación ???
Desktop New Site,2,"se quedo en ""cargando"" información del pasajero"
Desktop New Site,1,NO ME PERMITE FACTURAR
Desktop New Site,4,mauro
Desktop New Site,1,"He solicitado factura de un vuelo anterior que debo ya presentar en finanzas y no me ha sido posible ni conseguir hablar con ustedes, la solicité vía correo y solo me enviaron una de 100 pesos cobro por un cambio que hice. y ahora de mi nuevo viaje la quiero solictar y llevo más de 20 minutos esperando en línea y no hay opción especifica en su menú para facturar."
Desktop New Site,5,"todo muy entendible en la pagina de reservación, muchas gracias. "
Desktop New Site,1,"Cargan de manera automática sin explicar el Adicional ""Reembolso Total"" de $181.58 ¿Po qué?"
Desktop New Site,1,"NO TE DESGLOZA TODOS LOS CARGOS CUANDO HACES CAMBIOS, AL FINAL TERMINAS PAGANDO EL DOBLE, PESIMO SERVICIO!!"
Desktop New Site,1,"He intentado por más de 10 horas resolver una duda sobre una reservación de un vuelo que tengo con ustedes, que fue comprado en IBERIA y que el tramo guadalajara méxico es con viva aerobus.  Además del tiempo, no hay forma de que alguien atienda.  Esperé 50 minutos al teléfono y cuando contestaron colgaron Su chat no resuelve nada, incluso cuando uno quiere hablar con un asesor En su página de FB, en el messenger, tengo una respuesta pero no hay forma de que uno pueda entablar una conversación con alguien NO HAY FORMA DE HABLAR y todavía dicen que es un placer atendernos???"
Desktop New Site,2,NO HE PODIDO FACTURAR NINGUNO DE LOS BOLETOS DEL MES EN CURSO FAVOR DE SOLUCIONARLO
Desktop New Site,1,"estoy en completo desacuerdo con que se me cobre de manera obligatoria el reembolso total, no lo solicite y no quiero pagarlo"
Desktop New Site,3,NO FUNCIONA LA PAGINA DE FACTURACION
Desktop New Site,3,"Aparece un adicional que se llama reembolso Total y no lo puedo quitar.  Necesito saber primero que es y, si no me interesa, poder retirarlo"
Desktop New Site,1,No puedo quitar este cargo adicional
Desktop New Site,2,"Aparece el cuadro de dialogo de la TUA, se le da click en agregar o en más tarde y no se quita."
Desktop New Site,3,TENGO UNA INQUIETUD 
Desktop New Site,2,NO ME PERMITE PAGAR... LO HE INTENTADO CON MIS TARJETA CREDITO Y DEBITO Y NO ME DEJA HACER LA COMPRA.. TAMPOCO ME PERMITE HACERLA CON OTRA FORMA DE PAGO
Doters,1,No carga la página y no deja envíar
Desktop New Site,2,no puedo ver importe total y final
Desktop New Site,1,Su espacio en línea de facturación no ha estado disponible el día de hoy. ¿Cuándo podré facturar mis boletos?
Desktop New Site,1,estoy llamando a la aerolinea y llevo mas de dos horas y no me contestan es en relacion de que viajan dos menores uno de 17 y otro de 12 años y cuales son los requisitos 
Desktop New Site,1,"Son una basura de compañía obligando a tener adicionales, no lo necesito y no lo deseo y aun asi no me deja quitarlo su pagina y por ende debo pagarlo, que mierda de compañía son"
Doters,1,"Cambie la contraseña pero no me deja entrar, esta pesimo"
Doters,5,1473470
Doters,5,1473470
Doters,5,1473470
Doters,5,63100909M500
Doters,3,Un poco complejo 
Desktop New Site,4,me gustaria que las promociones que sacan MERIDA - GUADALAJARA  TAMBIEN LAS COMPARTAN CANCUN-GUADALAJARA no toda las personas tenemos la misma capacidad de pago aunque sea lugar turistico
Desktop New Site,1,me cobran automático el reembolso total y no lo quiero
Desktop New Site,1,ME CARGAN UN SEGURO DE CANCELACION POR 225 PESOS QUE NO SOLICITE
Desktop New Site,1,porque me meten a fuerza reembolso total no lo quiero
Desktop New Site,1,"ME HABIA ARROJADO UN TOTAL QUE YA DETALLABA EL TUA PERO AQUI EN ESTA PAGINA DE PAGOS NO ENTIENDO QUE ES ESA LINEA QUE DICE REEMBOLSO TOTAL POR 228.62, DEBERÍAN SER MÁS CLAROS, ES MUY DESHONESTO NO SERLO"
Desktop New Site,2,"Me hicieron un cobro de más y no me dan seguimiento. he enviado correo a atenciontelefonica@vivaaerobus.com y atencion.clientes@vivaaerobus.com y no me contestan, mi clave es ICLE8D y vuelo 4026. Favor de revisar mi correo. Gracias."
Desktop New Site,1,"No pude factura mediante el portal así que me comuniqué mediante el chat de WhatsApp y solo me dijo el asesor de nombre Roberto que el portal estaba en reparación y que intentara más tarde, inmediatamente se fue de la conversación. muy mal servicio en ambas situaciones, en el portal y el su chat"
Desktop New Site,2,"se agrega el reembolso total y no lo quiero, ya he intentado comprar el vuelo 3 veces y se agrega el reembolso total en adicional....justo cunado le pongo prepagar el tua"
Desktop New Site,1,"No me deja facturar la pagina, me dice que esta en mantenimiento, como podria obtener la factura ?"
Doters,3,A see
Desktop New Site,2,Kindly process refund to original form of payment. PNR HFTN7H 
Desktop New Site,1,Agrega una cantidad que no es parte de mi compra
Desktop New Site,2,Kindly process refund to original form of payment. PNR CYH8HJ 
Desktop New Site,1,"Pésimo servicio, hacen todo para que los pasajeros pierda su vuelo, no actualizan el estatus de los vuelos de forma correcta ocasionando contratiempos., aunado a esto el personal que da atención se burla de la gente. NEFASTO SERVICIO................."
Doters,1,"aun no se me relejan puntos del 18 de marzo 2023  18/03/2023 SEARS MERIDA PZA MERIDA YUC  440.00  18/03/2023 SEARS MERIDA PZA MERIDA YUC  2,596.00  18/03/2023 SEARS MERIDA PZA MERIDA YUC  7,956.64"
Desktop New Site,2,No puedo facturar mis viajes.
Doters,1,"desde que me di de alta no he podido ingresar a mi cuenta, no reconoce mi usuario ni mi contraseña, cuando ya la cambié 3 veces"
