Date,nps,ComoMejorar
01/03/2023 03:34,6,No hay claridad en la pagina. Las opciones están muy revuletas y en desorden. No es fácil
01/03/2023 02:18,1,no cobrando doblemente la seleccion de asientos al cambiar de itinerario
28/02/2023 23:50,6,NO ES CLARO.
28/02/2023 23:32,7,SON DEMASIADOS CARGOS ADICIONALES
28/02/2023 20:44,0,"El equipaje de la tarifa smart ya estaba pagado, y al hacer el cambio de nombre ademas de ese cargo vuelven a cobrar el equipaje, eso es robo"
28/02/2023 20:40,8,no agregando las cosas automáticamente y eliminando el costo por selección de asiento
28/02/2023 19:48,8,Es importante que cuando ya se pagaron ciertos servicios con anterioridad sea claro que los mismos servicios se trasladan a la nueva reservacion.
28/02/2023 19:38,0,como no puedo cambiar porque me rquivoque en una letra el nombre y es muy caro el error
28/02/2023 19:34,8,NADIE ES PERFECTO
28/02/2023 19:19,1,Ya tenia un asiento asignado y tramposamente lo cambian para que tenga uno que pagar
28/02/2023 16:30,0,"No puede ser posible que un cambio de vuelos cueste carísimo y por llamada más, en verdad no puede ser, no recomiendo nada esta aerolínea"
28/02/2023 15:16,0,"no estoy contenta hacen los cambio si avisar, y despues cobranla peor aerolina que he viajadoesto me respeten mis horarios"
28/02/2023 15:14,6,No option to see the site in English
28/02/2023 02:37,0,NO SE ENTIENDE
28/02/2023 01:15,5,Los costos no son claros
28/02/2023 01:12,1,Todo
28/02/2023 00:47,8,Hay problemas al seleccionar los asientos
27/02/2023 23:56,6,MUY CARO ASIENTO
27/02/2023 23:29,8,mas claros en su informacion
27/02/2023 23:28,8,mas información sobre temas de equipaje. tipos de equipaje no permitidos etc...
27/02/2023 22:24,0,Politica de cancelación
27/02/2023 22:24,8,No exagerando el costo de los cambios realizados
27/02/2023 20:52,0,NO ME RESPETARON EL CAMBIO Y ME HICIERON EL COBRO TOTAL
27/02/2023 19:55,6,te dice que no hay cobro por camnio y al final si te cobran
27/02/2023 19:44,0,Me confundí y pagué más por que por alguna razón te preguntan que si el TUA lo quieres pagar después ¿Para qué lo pagaría después? Cobrenme todo junto y listo
27/02/2023 19:29,8,"Que sean un poco mas claras las cosasNo supe como agregar 5 kg extras al equipaje de mano"
27/02/2023 19:25,2,cobraron algo con bajo un concepto nada solido
27/02/2023 19:22,2,"De acuerdo a la página, mi cambio de vuelo costaba $250. Sin ningún tipo de explicación al llegar al final esto subió a $600"
27/02/2023 19:16,8,no grabo la direccion de alojamiento
